Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Denmark,1550,1540,1530,1520,1510,1500,1490,1480,1470,1460,1450,1440,1430,1420,1410,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1395,1390,1300,1320,1340,1360
Dominican Republic,2200,2180,2160,2140,2120,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1500,1550,1580,1600
Ecuador,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1450,1480,1500,1520
"Egypt, Arab Rep.",~2200,~2200,~2200,~2180,~2160,~2140,~2120,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1800,~1800,~1800,~1800,~1800,~1800,2236,~2000,~2050,~2100,~2150
Spain,1700,1685,1670,1655,1640,1625,1610,1595,1580,1565,1550,1540,1530,1520,1510,1500,1490,1480,1470,1460,1450,1440,1430,1420,1410,1400,1390,1380,1375,1370,1300,1330,1350,1370
Estonia,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1550,~1600,~1650,~1680,~1700,~1700,~1700,~1700,~1700,~1700,~1700,~1700,~1700,~1700,~1700,~1700,~1700,~1600,~1630,~1650,~1680
Finland,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1500,1480,1460,1440,1420,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1390,1380,1300,1320,1340,1360
Fiji,1900,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790,1780,1770,1760,1750,1740,1730,1720,1710,1700,1695,1690,1685,1680,1675,1670,1665,1660,1655,1650,1650,1650
France,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1500,1480,1450,1420,1400,1380,1360,1340,1320,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1200,1250,1280,1300
Gabon,~2000,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1600,~1600,~1600,~1600,~1600,~1600,~1600,~1600,~1580,~1600,~1620,~1640
United Kingdom,1760,1740,1720,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1500,1480,1460,1450,1440,1430,1420,1410,1400,1390,1380,1370,1360,1350,1345,1340,1340,1300,1320,1330,1350
Georgia,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1450,~1400,~1400,~1450,~1500,~1550,~1600,~1650,~1700,~1750,~1800,~1850,~1850,~1850,~1850,~1850,~1850,~1850,~1850,~1850,~1850,~1800,~1830,~1850,~1850
Guinea,~2100,~2100,~2100,~2080,~2080,~2060,~2060,~2040,~2040,~2020,~2000,~2000,~1980,~1980,~1960,~1960,~1940,~1940,~1920,~1920,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1900,~1880,~1900,~1900,~1900
Greece,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1500,1480,1460,1440,1420,1300,1350,1400,1450
Guatemala,2300,2296,2292,2288,2284,2280,2276,2272,2268,2264,2260,2256,2230,2273,2171,2279.5,2388,2273,2230,2190,2159,2220,2137,2161,2185,2344,2261,2221,2239,2293,2132.5,1972,2067,2100
"Hong Kong SAR, China",2400,2380,2360,2340,2320,2300,2280,2260,2240,2220,2200,2180,2160,2140,2120,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1700,1750,1780,1800
Honduras,~2200,~2180,~2160,~2140,~2120,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1550,~1580,~1600,~1620
Croatia,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1480,~1460,~1440,~1420,~1400,~1420,~1450,~1480,~1510,~1540,~1570,~1600,~1620,~1640,~1660,~1680,~1700,~1700,~1700,~1700,~1971,~1700,~1700,~1700,~1700
Hungary,1900,1850,1800,1750,1700,1650,1620,1600,1580,1560,1540,1520,1500,1480,1460,1440,1420,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1300,1330,1360,1390
Indonesia,2100,2100,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1600,1580,1560,1500,1520,1540,1560
India,2500,2480,2460,2440,2420,2400,2380,2360,2340,2320,2300,2280,2260,2240,2220,2200,2180,2160,2140,2120,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1800,1850,2400,2428
Ireland,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1420,1450,1480
"Iran, Islamic Rep.",~2200,~2180,~2160,~2140,~2120,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1500,~1550,~1600,~1650
Iraq,2300,2294,2288,2282,2276,2270,2264,2258,2252,2246,2240,2234,2228,2222,2216,2210,2204,2198,2192,2186,2180,2174,2168,2162,2156,2150,2144,2138,2132,2126,2120,2114,2108,2102
Iceland,1850,1830,1810,1790,1770,1750,1730,1710,1690,1670,1650,1630,1610,1590,1570,1550,1540,1530,1520,1510,1500,1490,1480,1470,1460,1450,1440,1430,1420,1410,1300,1350,1380,1400
Italy,1850,1800,1750,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1500,1480,1460,1440,1420,1410,1400,1390,1380,1370,1360,1350,1340,1330,1320,1310,1300,1200,1250,1280,1300
Jamaica,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1420,~1400,~1420,~1440,~1460
Jordan,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1520,~1540,~1560
Japan,2030,2000,1970,1940,1910,1880,1850,1820,1790,1760,1730,1700,1670,1640,1610,1580,1550,1520,1490,1460,1430,1400,1390,1380,1370,1360,1350,1340,1330,1320,1300,1320,1350,1400
Kazakhstan,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1450,~1400,~1380,~1360,~1340,~1320,~1300,~1300,~1350,~1400,~1450,~1500,~1550,~1600,~1650,~1700,~1750,~1800,~1800,~1800,~1800,~1700,~1750,~1780,~1800
Kenya,2450,2445,2440,2435,2430,2425,2420,2415,2410,2405,2400,2395,2390,2385,2380,2375,2370,2365,2360,2355,2350,2345,2340,2335,2330,2325,2320,2315,2310,2305,2300,2295,2290,2285
Kyrgyz Republic,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1450,~1400,~1350,~1300,~1300,~1350,~1400,~1450,~1500,~1550,~1600,~1650,~1700,~1750,~1800,~1800,~1800,~1800,~1800,~1800,~1800,~1700,~1750,~1780,~1800
"Korea, Rep.",2600,2550,2500,2450,2400,2350,2300,2250,2200,2150,2100,2050,2000,1950,1900,1850,1800,1750,1700,1650,1600,1550,1520,1500,1480,1460,1440,1420,1400,1380,1300,1400,1500,1600
Kuwait,2150,2145,2140,2135,2130,2125,2120,2115,2110,2105,2100,2095,2090,2085,2080,2075,2070,2065,2060,2055,2050,2045,2040,2035,2030,2025,2020,2015,2010,2005,2000,1995,1990,1985
Lao PDR,~2100,~2100,~2100,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1550,~1580,~1600,~1620
Lebanon,~2000,~2000,~2000,~2000,~2000,~2000,~1980,~1980,~1980,~1980,~1960,~1960,~1960,~1960,~1960,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1900,~1920,~1940,~1960
Sri Lanka,~2200,~2180,~2160,~2140,~2120,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1620,~1640,~1660
Lesotho,~2000,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500
Luxembourg,1750,1730,1710,1690,1670,1650,1630,1610,1590,1570,1550,1530,1510,1490,1470,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1300,1350,1380,1400
Latvia,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1480,~1460,~1440,~1420,~1400,~1420,~1450,~1480,~1510,~1540,~1570,~1600,~1620,~1640,~1660,~1680,~1700,~1700,~1700,~1700,~1700,~1600,~1630,~1650,~1680
"Macao SAR, China",~2200,~2180,~2160,~2140,~2120,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1500,~1550,~1600,~1650
Morocco,~2400,~2380,~2360,~2340,~2320,~2300,~2280,~2260,~2240,~2220,~2200,~2180,~2160,~2140,~2120,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1700,~1750,~1780,~1800
Moldova,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1480,~1460,~1440,~1420,~1400,~1420,~1450,~1480,~1510,~1540,~1570,~1600,~1620,~1640,~1660,~1680,~1700,~1700,~1700,~1700,~1700,~1600,~1630,~1650,~1680
Mexico,2250,2230,2210,2190,2170,2150,2130,2110,2090,2070,2050,2030,2010,1990,1970,1950,1930,1910,1890,1870,1850,1830,1810,1790,1770,1750,1730,1710,1690,1670,1600,1650,1680,1700
North Macedonia,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1550,~1500,~1450,~1400,~1350,~1300,~1300,~1350,~1400,~1450,~1500,~1550,~1600,~1650,~1700,~1750,~1800,~1800,~1800,~1800,~1800,~1800,~1800,~1700,~1750,~1780,~1800
Malta,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1450,~1470,~1480,~1500
Mongolia,~2000,~1950,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1580,~1560,~1540,~1520,~1500,~1550,~1600,~1650,~1700,~1750,~1800,~1850,~1850,~1850,~1850,~1850,~1850,~1850,~1850,~1850,~1850,~1800,~1830,~1850,~1850
Mozambique,~2000,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1500,~1500,~1500,~1500,~1500,~1500,~1500
Mauritania,~2100,~2100,~2100,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1550,~1580,~1600,~1620
Mauritius,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1600,1580,1560,1540,1520,1480,1500,1520,1540
Malaysia,2300,2280,2260,2240,2220,2200,2180,2160,2140,2120,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1600,1650,1680,1700
Namibia,~2100,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1600,~1600,~1600,~1600,~1600,~1600,~1600
Niger,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2080,~2080,~2060,~2060,~2040,~2040,~2020,~2020,~2000,~2000,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1950,~1980,~2000,~2000
Nigeria,~2000,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1400,~1450,~1500,~1550
Nicaragua,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1420,~1400,~1450,~1480,~1500
Netherlands,1400,1390,1380,1370,1360,1350,1340,1330,1320,1310,1300,1290,1280,1270,1260,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1200,1220,1240,1260
Norway,1400,1390,1380,1370,1360,1350,1340,1330,1320,1310,1300,1290,1280,1270,1260,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1240,1230,1150,1180,1200,1220
New Zealand,1850,1830,1810,1790,1770,1750,1730,1710,1690,1670,1650,1630,1610,1590,1570,1550,1540,1530,1520,1510,1500,1490,1480,1470,1460,1450,1440,1430,1420,1410,1350,1380,1400,1420
Oman,~2100,~2100,~2100,~2100,~2100,~2100,~2080,~2080,~2080,~2080,~2060,~2060,~2060,~2060,~2060,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2000,~2020,~2040,~2060
Peru,2400,2360,2320,2280,2240,2200,2180,2160,2140,2120,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1650,1680,1700,1720
Philippines,2200,2180,2160,2140,2120,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1550,1580,1600,1620
Poland,1900,1850,1800,1750,1700,1650,1620,1600,1580,1560,1540,1520,1500,1480,1460,1440,1420,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1300,1340,1370,1400
Portugal,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1680,1660,1640,1620,1600,1590,1580,1570,1560,1550,1540,1530,1520,1510,1500,1490,1480,1475,1470,1400,1430,1450,1470
Paraguay,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1520,~1540,~1560
Qatar,~2000,~2000,~2000,~2000,~2000,~2000,~1980,~1980,~1980,~1980,~1960,~1960,~1960,~1960,~1960,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1940,~1900,~1920,~1940,~1960
Romania,1900,1850,1800,1750,1700,1650,1600,1580,1560,1540,1520,1500,1480,1460,1440,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420,1350,1370,1400,1420
Russian Federation,1900,1880,1860,1840,1820,1800,1780,1760,1740,1720,1700,1700,1720,1740,1760,1780,1800,1820,1840,1860,1880,1900,1920,1940,1960,1970,1974,1979,1970,1965,1850,1900,1940,1960
Rwanda,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2100,~2080,~2080,~2060,~2060,~2040,~2040,~2020,~2020,~2000,~2000,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1980,~1950,~1980,~2000,~2000
Saudi Arabia,~2100,~2100,~2100,~2100,~2100,~2100,~2080,~2080,~2080,~2080,~2060,~2060,~2060,~2060,~2060,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2040,~2000,~2020,~2040,~2060
Sudan,~2000,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1400,~1450,~1480,~1500
Senegal,~2200,~2200,~2200,~2200,~2180,~2160,~2140,~2120,~2100,~2080,~2060,~2040,~2020,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1600,~1650,~1680,~1700
Singapore,2400,2380,2360,2340,2320,2300,2280,2260,2240,2220,2200,2180,2160,2140,2120,2100,2080,2060,2040,2020,2000,1980,1960,1940,1920,1900,1880,1860,1840,1820,1700,1750,1780,1800
Sierra Leone,~2000,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1400,~1450,~1480,~1500
Serbia,~1900,~1850,~1800,~1750,~1700,~1650,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1420,~1400,~1400,~1400,~1400,~1400,~1400,~1400,~1400,~1400,~1400,~1400,~1400,~1400,~2153,~1400,~1420,~1450,~1480
São Tomé and Príncipe,~2000,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1400,~1450,~1480,~1500
Suriname,~2000,~1980,~1960,~1940,~1920,~1900,~1880,~1860,~1840,~1820,~1800,~1780,~1760,~1740,~1720,~1700,~1680,~1660,~1640,~1620,~1600,~1580,~1560,~1540,~1520,~1500,~1480,~1460,~1440,~1420,~1400,~1450,~1480,~1500
